Topics,Alpha,Eta,Coherence
6,symmetric,symmetric,-2.7368739182154727
6,asymmetric,0.01,-3.225721000224789
6,asymmetric,0.31,-5.536980049862527
6,asymmetric,0.61,-9.952377648960478
6,asymmetric,0.9099999999999999,-13.05142892658528
6,asymmetric,symmetric,-3.6837365018917656
7,0.01,0.01,-3.0190355366475115
7,0.01,0.31,-5.998676656202265
7,0.01,0.61,-9.296020815970051
7,0.01,0.9099999999999999,-10.93910694319452
7,0.01,symmetric,-3.909416752813722
7,0.31,0.01,-2.67598852024011
7,0.31,0.31,-4.173628482614219
7,0.31,0.61,-6.771331928342728
7,0.31,0.9099999999999999,-9.170139648675194
7,0.31,symmetric,-3.1660522851081803
7,0.61,0.01,-2.5439687203041133
7,0.61,0.31,-3.369757769547797
7,0.61,0.61,-4.45120902681703
7,0.61,0.9099999999999999,-8.720165312767726
7,0.61,symmetric,-2.69235015690883
7,0.9099999999999999,0.01,-2.511629631514697
7,0.9099999999999999,0.31,-2.6803281587375736
7,0.9099999999999999,0.61,-2.687846321084492
7,0.9099999999999999,0.9099999999999999,-6.559547157639642
7,0.9099999999999999,symmetric,-2.659476837867914
7,symmetric,0.01,-2.7873581134658965
7,symmetric,0.31,-5.404763756593758
7,symmetric,0.61,-10.079452562154367
7,symmetric,0.9099999999999999,-9.896953751161343
7,symmetric,symmetric,-3.4730338456002685
7,asymmetric,0.01,-3.354248743894856
7,asymmetric,0.31,-5.861432433001413
7,asymmetric,0.61,-9.5670641606048
7,asymmetric,0.9099999999999999,-12.536556084479923
7,asymmetric,symmetric,-3.9948915534693454
8,0.01,0.01,-2.875962642732979
8,0.01,0.31,-6.9049727296505505
8,0.01,0.61,-11.167783447684547
8,0.01,0.9099999999999999,-11.573125061760575
8,0.01,symmetric,-4.31499028276195
8,0.31,0.01,-2.622964169578326
8,0.31,0.31,-3.7712497889636625
8,0.31,0.61,-7.356230531824457
8,0.31,0.9099999999999999,-10.367762623797375
8,0.31,symmetric,-2.6747252155156516
8,0.61,0.01,-2.611785971717139
8,0.61,0.31,-3.18511519726966
8,0.61,0.61,-6.437369667753807
8,0.61,0.9099999999999999,-8.108851043745886
8,0.61,symmetric,-2.9717588980313607
8,0.9099999999999999,0.01,-2.587264406279828
8,0.9099999999999999,0.31,-2.9914111794537184
8,0.9099999999999999,0.61,-3.883675844774742
8,0.9099999999999999,0.9099999999999999,-6.631128128013057
8,0.9099999999999999,symmetric,-2.6171460533650506
8,symmetric,0.01,-2.717071018844984
8,symmetric,0.31,-5.395559099572432
8,symmetric,0.61,-9.047771390863712
8,symmetric,0.9099999999999999,-12.082346798931866
8,symmetric,symmetric,-3.3372245141088523
8,asymmetric,0.01,-3.556784787864811
8,asymmetric,0.31,-6.493436017273592
8,asymmetric,0.61,-10.38014121666177
8,asymmetric,0.9099999999999999,-13.84189133984707
8,asymmetric,symmetric,-5.1510006781127124
9,0.01,0.01,-2.9052151832263484
9,0.01,0.31,-6.414632308453646
9,0.01,0.61,-11.191566055535917
9,0.01,0.9099999999999999,-10.082898530315667
9,0.01,symmetric,-4.079915619531779
9,0.31,0.01,-2.791647476943022
9,0.31,0.31,-5.052644083289356
9,0.31,0.61,-10.554521480549715
9,0.31,0.9099999999999999,-11.687603802149324
9,0.31,symmetric,-3.09971358793774
9,0.61,0.01,-2.646959875695498
9,0.61,0.31,-3.42749707795631
9,0.61,0.61,-6.043643461413181
9,0.61,0.9099999999999999,-9.127855445921877
9,0.61,symmetric,-2.840451260280265
9,0.9099999999999999,0.01,-2.6333125385303595
9,0.9099999999999999,0.31,-3.026888465452268
9,0.9099999999999999,0.61,-4.337551273352154
9,0.9099999999999999,0.9099999999999999,-7.348587469646613
9,0.9099999999999999,symmetric,-2.787461672821851
9,symmetric,0.01,-2.7079130602162405
9,symmetric,0.31,-6.727488544804375
9,symmetric,0.61,-11.772612408896673
9,symmetric,0.9099999999999999,-10.499150906648724
9,symmetric,symmetric,-3.7884263809960683
9,asymmetric,0.01,-3.014882529999156
9,asymmetric,0.31,-6.59989462299118
9,asymmetric,0.61,-12.729255988429607
9,asymmetric,0.9099999999999999,-12.485730274622549
9,asymmetric,symmetric,-4.104931396120889
