Topics,Alpha,Eta,Coherence
9,0.9099999999999999,0.31,-2.6283570913919
9,0.9099999999999999,0.61,-5.123516905852973
9,0.9099999999999999,0.9099999999999999,-8.33132867867612
9,0.9099999999999999,symmetric,-2.4921775200785916
9,symmetric,0.01,-2.9378142160628067
9,symmetric,0.31,-7.185745089162659
9,symmetric,0.61,-12.242628850008526
9,symmetric,0.9099999999999999,-12.643091973995757
9,symmetric,symmetric,-3.7610616550602924
9,asymmetric,0.01,-4.4577927694384005
9,asymmetric,0.31,-10.536213155605829
9,asymmetric,0.61,-10.341443955310723
9,asymmetric,0.9099999999999999,-10.453427477058247
9,asymmetric,symmetric,-5.737343306469594
