Topics,Alpha,Eta,Coherence
5,0.9099999999999999,0.01,-2.710804800596507
5,0.9099999999999999,0.31,-3.3310485629256994
5,0.9099999999999999,0.61,-3.7227393374866153
5,0.9099999999999999,0.9099999999999999,-4.367714596531882
5,0.9099999999999999,symmetric,-3.2549218395092696
5,symmetric,0.01,-2.845934802549038
5,symmetric,0.31,-4.017885879281113
5,symmetric,0.61,-6.883554532263611
5,symmetric,0.9099999999999999,-10.868083210964839
5,symmetric,symmetric,-3.567905849329828
5,asymmetric,0.01,-3.8488985460490275
5,asymmetric,0.31,-4.088232795987162
5,asymmetric,0.61,-8.083867367440742
5,asymmetric,0.9099999999999999,-9.377168796343822
5,asymmetric,symmetric,-4.030126869089036
6,0.01,0.01,-2.809012655752971
6,0.01,0.31,-4.329916729238332
6,0.01,0.61,-9.88333689302029
6,0.01,0.9099999999999999,-13.039042811495975
6,0.01,symmetric,-3.573291048837227
6,0.31,0.01,-2.8633579719826954
6,0.31,0.31,-3.647443394133834
6,0.31,0.61,-8.615488494863477
6,0.31,0.9099999999999999,-12.526342557813253
6,0.31,symmetric,-3.2967750932670583
6,0.61,0.01,-2.8057945897211103
6,0.61,0.31,-3.9133489245551742
6,0.61,0.61,-4.721505920998854
6,0.61,0.9099999999999999,-8.109842725006676
6,0.61,symmetric,-3.320921132231083
6,0.9099999999999999,0.01,-2.779795533485586
6,0.9099999999999999,0.31,-3.0031533590167587
6,0.9099999999999999,0.61,-4.072506301165126
6,0.9099999999999999,0.9099999999999999,-5.2108121949471675
6,0.9099999999999999,symmetric,-3.205999423297197
6,symmetric,0.01,-2.9039858932528895
6,symmetric,0.31,-3.7589895654921652
6,symmetric,0.61,-8.471540403738267
6,symmetric,0.9099999999999999,-11.947844817671571
6,symmetric,symmetric,-3.424444649741773
6,asymmetric,0.01,-4.847842698057224
6,asymmetric,0.31,-4.292204711696817
6,asymmetric,0.61,-9.607298632473201
6,asymmetric,0.9099999999999999,-9.893387506224343
6,asymmetric,symmetric,-3.636670409658034
7,0.01,0.01,-2.993397049506606
7,0.01,0.31,-5.370172977999475
7,0.01,0.61,-11.671612862988514
7,0.01,0.9099999999999999,-13.146003320393254
7,0.01,symmetric,-3.7031666653469637
7,0.31,0.01,-3.0603256397799803
7,0.31,0.31,-3.887296301768117
7,0.31,0.61,-7.806691768686001
7,0.31,0.9099999999999999,-9.548108992832491
7,0.31,symmetric,-3.1917426868460197
7,0.61,0.01,-2.90746836499446
7,0.61,0.31,-4.086732160518951
7,0.61,0.61,-6.135979150371591
7,0.61,0.9099999999999999,-7.860051029108566
7,0.61,symmetric,-3.884383438629461
7,0.9099999999999999,0.01,-2.875992684067046
7,0.9099999999999999,0.31,-3.77254815731013
7,0.9099999999999999,0.61,-4.160226873305271
7,0.9099999999999999,0.9099999999999999,-6.994655418689045
7,0.9099999999999999,symmetric,-3.1312969192234683
7,symmetric,0.01,-3.0411130344516906
7,symmetric,0.31,-4.636637093033886
7,symmetric,0.61,-10.781439439577083
7,symmetric,0.9099999999999999,-13.595708701010349
7,symmetric,symmetric,-3.9268584566933513
